symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
bj920000,920000,安徽凤凰,14.790,-0.1,-0.672,14.790,14.800,14.890,14.900,15.100,14.530,1263984,18690419,15:08:41,20.542,2.009,135594.72,85181.415075,2.19465
bj920001,920001,纬达光电,11.630,-0.23,-1.939,11.630,11.640,11.860,11.980,11.980,11.630,1120741,13288264,15:08:41,-89.462,2.52,178690.418952,104731.073782,1.24454
bj920002,920002,万达轴承,54.860,-1.27,-2.263,54.850,54.860,56.130,56.560,56.560,54.760,1069932,59460532,15:08:41,39.754,4.6,349480.99433,244659.981358,2.3991
bj920003,920003,中诚咨询,16.660,-0.31,-1.827,16.660,16.670,16.970,16.950,16.970,16.650,242113,4070428,15:08:41,8.723,2.305,150939.6,32431.05572,1.24375
bj920005,920005,鼎佳精密,25.000,0.28,1.133,24.990,25.000,24.720,24.950,25.280,24.540,369437,9202159,15:08:41,29.07,3.167,207500.0,95779.3075,0.96429
bj920006,920006,晟楠科技,16.320,-0.62,-3.66,16.310,16.320,16.940,17.070,17.070,16.320,1598456,26624289,15:08:41,181.333,4.689,147348.7104,78004.886784,3.34425
bj920007,920007,酉立智能,36.010,-1.17,-3.147,36.000,36.010,37.180,37.170,37.370,36.010,180784,6638758,15:08:41,14.698,2.466,160361.35245,38324.90285,1.69864
bj920008,920008,成电光信,19.900,0.05,0.252,19.900,19.910,19.850,19.980,20.250,19.720,886033,17760221,15:08:41,78.254,3.896,126862.5,67796.69907,2.60072
bj920009,920009,丹娜生物,38.620,1.16,3.097,38.610,38.620,37.460,37.340,39.180,36.800,771357,29617273,15:08:41,19.31,4.302,299482.652,38928.96,7.65235
bj920010,920010,凯添燃气,8.640,0.08,0.935,8.640,8.650,8.560,8.630,8.830,8.520,6027414,52407417,15:08:41,72.0,2.91,202608.0,150529.408992,3.45958
bj920011,920011,晨光电机,19.070,-0.45,-2.305,19.070,19.080,19.520,19.500,19.500,19.030,681775,13126772,15:08:41,12.629,1.857,157645.333969,35470.201907,3.66546
bj920012,920012,创达新材,48.000,-1.6,-3.226,47.900,48.000,49.600,50.310,50.460,48.000,940166,46340158,15:08:41,27.119,3.862,236723.424,92628.048,4.87195
bj920014,920014,特瑞斯,8.840,-0.16,-1.778,8.840,8.850,9.000,9.010,9.020,8.830,1451049,12941850,15:08:41,126.286,1.37,107721.360812,59269.811432,2.16422
bj920015,920015,锦华新材,43.940,-0.36,-0.813,43.940,43.960,44.300,44.300,45.400,43.070,2341590,103198750,15:08:41,24.167,3.49,595679.934798,175814.66136,5.85215
bj920016,920016,中草香料,13.060,-0.18,-1.36,13.060,13.070,13.240,13.340,13.350,13.030,598262,7856897,15:08:41,52.24,2.576,100538.399274,44713.806708,1.7474
bj920017,920017,星昊医药,18.310,0.81,4.629,18.310,18.320,17.500,17.510,18.640,17.310,8953998,162696596,15:08:41,21.798,1.389,226847.198627,224425.518027,7.30522
bj920018,920018,宏远股份,16.290,-0.17,-1.033,16.290,16.300,16.460,16.460,17.020,16.270,2174827,36122766,15:08:41,15.816,2.887,269645.817357,93652.74126,3.7829
bj920019,920019,铜冠矿建,14.390,-0.37,-2.507,14.380,14.390,14.760,14.750,14.780,14.370,1857469,27025272,15:08:41,75.737,3.236,302573.7813,241083.823374,1.1087
bj920020,920020,泰凯英,15.170,-0.19,-1.237,15.170,15.190,15.360,15.480,15.480,15.170,250196,3821007,15:08:41,16.078,2.854,341241.565,84346.566817,0.44999
bj920021,920021,流金科技,7.380,-0.05,-0.673,7.370,7.380,7.430,7.400,7.880,7.360,25550761,193753061,15:08:41,246.0,3.514,228041.987454,182695.348674,10.32126
bj920022,920022,世昌股份,19.110,-0.53,-2.699,19.110,19.190,19.640,19.710,19.710,19.110,153318,2961369,15:08:41,12.912,2.589,115273.431,31751.265,0.92277
bj920023,920023,*ST田野,1.990,0.04,2.051,1.990,2.000,1.950,1.950,2.080,1.920,11959869,24085195,15:08:41,52.368,0.54,65133.496,53492.89747,4.44921
bj920026,920026,卓兆点胶,17.770,-0.51,-2.79,17.770,17.840,18.280,18.520,18.520,17.600,996265,17947218,15:08:41,28.206,3.194,204191.771888,153927.537449,1.15013
bj920027,920027,交大铁发,11.560,-0.23,-1.951,11.520,11.560,11.790,11.930,11.930,11.500,1176891,13683574,15:08:41,18.063,2.567,119027.0198,83288.5573,1.63346
